,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
118,0.733,0.389,10.0,-8.468,0.0,0.0738,0.0513,0.0,0.141,0.244,157.878,audio_features,6fWa5CRgy0z30OeGZyMBvD,spotify:track:6fWa5CRgy0z30OeGZyMBvD,https://api.spotify.com/v1/tracks/6fWa5CRgy0z30OeGZyMBvD,https://api.spotify.com/v1/audio-analysis/6fWa5CRgy0z30OeGZyMBvD,159670.0,3.0,
119,0.591,0.585,2.0,-6.35,1.0,0.0277,0.143,0.0,0.109,0.324,110.94,audio_features,7lidXGPXPYLNThITAOTlkK,spotify:track:7lidXGPXPYLNThITAOTlkK,https://api.spotify.com/v1/tracks/7lidXGPXPYLNThITAOTlkK,https://api.spotify.com/v1/audio-analysis/7lidXGPXPYLNThITAOTlkK,205473.0,4.0,
120,0.898,0.577,2.0,-7.785,1.0,0.238,0.0361,0.0,0.176,0.266,83.018,audio_features,29s4u1adFGLWtGehbR5xkq,spotify:track:29s4u1adFGLWtGehbR5xkq,https://api.spotify.com/v1/tracks/29s4u1adFGLWtGehbR5xkq,https://api.spotify.com/v1/audio-analysis/29s4u1adFGLWtGehbR5xkq,144361.0,4.0,
121,0.95,0.5,1.0,-8.18,1.0,0.399,0.103,3.77e-05,0.103,0.598,114.009,audio_features,12ZpiGAd2uPgJiofgoZMue,spotify:track:12ZpiGAd2uPgJiofgoZMue,https://api.spotify.com/v1/tracks/12ZpiGAd2uPgJiofgoZMue,https://api.spotify.com/v1/audio-analysis/12ZpiGAd2uPgJiofgoZMue,142979.0,4.0,
122,0.712,0.599,5.0,-6.342,0.0,0.112,0.412,2.15e-05,0.103,0.588,179.788,audio_features,0FktnzDqjClqU6iqOZVEs2,spotify:track:0FktnzDqjClqU6iqOZVEs2,https://api.spotify.com/v1/tracks/0FktnzDqjClqU6iqOZVEs2,https://api.spotify.com/v1/audio-analysis/0FktnzDqjClqU6iqOZVEs2,178000.0,4.0,
123,0.735,0.369,9.0,-9.682,0.0,0.0688,0.334,0.0,0.126,0.235,140.004,audio_features,1iSqfoUFnQwV0QW1EfUit8,spotify:track:1iSqfoUFnQwV0QW1EfUit8,https://api.spotify.com/v1/tracks/1iSqfoUFnQwV0QW1EfUit8,https://api.spotify.com/v1/audio-analysis/1iSqfoUFnQwV0QW1EfUit8,222997.0,4.0,
124,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,3HWzoMvoF3TQfYg4UPszDq,spotify:track:3HWzoMvoF3TQfYg4UPszDq,https://api.spotify.com/v1/tracks/3HWzoMvoF3TQfYg4UPszDq,https://api.spotify.com/v1/audio-analysis/3HWzoMvoF3TQfYg4UPszDq,173325.0,4.0,
125,0.556,0.538,8.0,-5.408,0.0,0.0382,0.0689,0.0,0.196,0.291,143.95,audio_features,75ZvA4QfFiZvzhj2xkaWAh,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,https://api.spotify.com/v1/tracks/75ZvA4QfFiZvzhj2xkaWAh,https://api.spotify.com/v1/audio-analysis/75ZvA4QfFiZvzhj2xkaWAh,223347.0,4.0,
126,0.732,0.462,5.0,-10.191,0.0,0.406,0.126,0.0,0.12,0.117,180.067,audio_features,2iW6Hb6kfrz2K7EhPibFiq,spotify:track:2iW6Hb6kfrz2K7EhPibFiq,https://api.spotify.com/v1/tracks/2iW6Hb6kfrz2K7EhPibFiq,https://api.spotify.com/v1/audio-analysis/2iW6Hb6kfrz2K7EhPibFiq,170057.0,4.0,
127,0.769,0.479,1.0,-5.339,1.0,0.0385,0.66,0.0,0.0914,0.803,96.051,audio_features,2Yer0p7uB2lVBUAtANuuQp,spotify:track:2Yer0p7uB2lVBUAtANuuQp,https://api.spotify.com/v1/tracks/2Yer0p7uB2lVBUAtANuuQp,https://api.spotify.com/v1/audio-analysis/2Yer0p7uB2lVBUAtANuuQp,164640.0,4.0,
