,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
3604,0.762,0.437,10.0,-5.581,1.0,0.0568,0.252,2.86e-06,0.0901,0.217,106.965,audio_features,12o6dxWGk29uIAP3OWY0pM,spotify:track:12o6dxWGk29uIAP3OWY0pM,https://api.spotify.com/v1/tracks/12o6dxWGk29uIAP3OWY0pM,https://api.spotify.com/v1/audio-analysis/12o6dxWGk29uIAP3OWY0pM,189796.0,4.0,
3605,0.71,0.73,5.0,-4.001,1.0,0.0607,0.0571,0.0,0.139,0.48,99.986,audio_features,6XOYVSmNDjKUNMXooU4s4z,spotify:track:6XOYVSmNDjKUNMXooU4s4z,https://api.spotify.com/v1/tracks/6XOYVSmNDjKUNMXooU4s4z,https://api.spotify.com/v1/audio-analysis/6XOYVSmNDjKUNMXooU4s4z,223190.0,4.0,
3606,0.779,0.597,9.0,-9.652,0.0,0.434,0.723,4.47e-05,0.0508,0.646,173.986,audio_features,19HA9J80qZfIkAnp2g8N2S,spotify:track:19HA9J80qZfIkAnp2g8N2S,https://api.spotify.com/v1/tracks/19HA9J80qZfIkAnp2g8N2S,https://api.spotify.com/v1/audio-analysis/19HA9J80qZfIkAnp2g8N2S,234280.0,4.0,
3607,0.626,0.822,6.0,-5.501,1.0,0.0434,0.0164,0.000296,0.139,0.374,97.003,audio_features,6uJwPeBGb3swi85TSr9iIz,spotify:track:6uJwPeBGb3swi85TSr9iIz,https://api.spotify.com/v1/tracks/6uJwPeBGb3swi85TSr9iIz,https://api.spotify.com/v1/audio-analysis/6uJwPeBGb3swi85TSr9iIz,276907.0,4.0,
3608,0.706,0.485,8.0,-9.671,1.0,0.331,0.337,0.0,0.122,0.144,115.414,audio_features,1a0wEEHipnBR7WOHFA6ucQ,spotify:track:1a0wEEHipnBR7WOHFA6ucQ,https://api.spotify.com/v1/tracks/1a0wEEHipnBR7WOHFA6ucQ,https://api.spotify.com/v1/audio-analysis/1a0wEEHipnBR7WOHFA6ucQ,205093.0,4.0,
3609,0.482,0.477,10.0,-8.444,0.0,0.0503,0.0201,0.0,0.251,0.379,117.85,audio_features,0rlFL6bxIWcCn9gk9GExFA,spotify:track:0rlFL6bxIWcCn9gk9GExFA,https://api.spotify.com/v1/tracks/0rlFL6bxIWcCn9gk9GExFA,https://api.spotify.com/v1/audio-analysis/0rlFL6bxIWcCn9gk9GExFA,182834.0,5.0,
3610,0.87,0.496,5.0,-5.849,1.0,0.0741,0.113,0.0,0.134,0.778,102.015,audio_features,7qs2GAglLWfxEfmO8u2u0A,spotify:track:7qs2GAglLWfxEfmO8u2u0A,https://api.spotify.com/v1/tracks/7qs2GAglLWfxEfmO8u2u0A,https://api.spotify.com/v1/audio-analysis/7qs2GAglLWfxEfmO8u2u0A,191240.0,4.0,
3611,0.696,0.503,8.0,-4.842,1.0,0.0356,0.0745,0.0,0.0869,0.559,99.977,audio_features,51PIvodunv6NmX5250zxAh,spotify:track:51PIvodunv6NmX5250zxAh,https://api.spotify.com/v1/tracks/51PIvodunv6NmX5250zxAh,https://api.spotify.com/v1/audio-analysis/51PIvodunv6NmX5250zxAh,211364.0,4.0,
3612,0.466,0.666,1.0,-6.77,1.0,0.169,0.000199,0.0195,0.0803,0.337,113.935,audio_features,3LRddJIw2ymm1CHIO9xlkC,spotify:track:3LRddJIw2ymm1CHIO9xlkC,https://api.spotify.com/v1/tracks/3LRddJIw2ymm1CHIO9xlkC,https://api.spotify.com/v1/audio-analysis/3LRddJIw2ymm1CHIO9xlkC,196117.0,5.0,
3613,0.836,0.776,4.0,-0.804,0.0,0.239,0.274,0.0,0.113,0.37,130.033,audio_features,39pS70eeDvyCAF3t8NAlVV,spotify:track:39pS70eeDvyCAF3t8NAlVV,https://api.spotify.com/v1/tracks/39pS70eeDvyCAF3t8NAlVV,https://api.spotify.com/v1/audio-analysis/39pS70eeDvyCAF3t8NAlVV,222707.0,4.0,
3614,0.831,0.573,4.0,-6.408,0.0,0.221,0.188,0.000883,0.109,0.229,100.015,audio_features,1tlBuoIRrtqFs9bE9dmli5,spotify:track:1tlBuoIRrtqFs9bE9dmli5,https://api.spotify.com/v1/tracks/1tlBuoIRrtqFs9bE9dmli5,https://api.spotify.com/v1/audio-analysis/1tlBuoIRrtqFs9bE9dmli5,246173.0,4.0,
3615,0.603,0.55,9.0,-4.862,0.0,0.0397,0.116,0.0,0.106,0.265,132.858,audio_features,4gqMQftUs22F8pOGVn5Acr,spotify:track:4gqMQftUs22F8pOGVn5Acr,https://api.spotify.com/v1/tracks/4gqMQftUs22F8pOGVn5Acr,https://api.spotify.com/v1/audio-analysis/4gqMQftUs22F8pOGVn5Acr,209933.0,4.0,
3616,0.576,0.766,10.0,-4.943,0.0,0.449,0.028,1.68e-06,0.366,0.236,144.833,audio_features,5OOkp4U9P9oL23maHFHL1h,spotify:track:5OOkp4U9P9oL23maHFHL1h,https://api.spotify.com/v1/tracks/5OOkp4U9P9oL23maHFHL1h,https://api.spotify.com/v1/audio-analysis/5OOkp4U9P9oL23maHFHL1h,246761.0,4.0,
3617,,,,,,,,,,,,,,,,,,,"{'status': 429, 'message': 'API rate limit exceeded'}"
3618,,,,,,,,,,,,,,,,,,,"{'status': 429, 'message': 'API rate limit exceeded'}"
3619,,,,,,,,,,,,,,,,,,,"{'status': 429, 'message': 'API rate limit exceeded'}"
3620,,,,,,,,,,,,,,,,,,,"{'status': 429, 'message': 'API rate limit exceeded'}"
3621,,,,,,,,,,,,,,,,,,,"{'status': 429, 'message': 'API rate limit exceeded'}"
3622,,,,,,,,,,,,,,,,,,,"{'status': 429, 'message': 'API rate limit exceeded'}"
3623,,,,,,,,,,,,,,,,,,,"{'status': 429, 'message': 'API rate limit exceeded'}"
3624,,,,,,,,,,,,,,,,,,,"{'status': 429, 'message': 'API rate limit exceeded'}"
3625,,,,,,,,,,,,,,,,,,,"{'status': 429, 'message': 'API rate limit exceeded'}"
3626,,,,,,,,,,,,,,,,,,,"{'status': 429, 'message': 'API rate limit exceeded'}"
3627,,,,,,,,,,,,,,,,,,,"{'status': 429, 'message': 'API rate limit exceeded'}"
3628,,,,,,,,,,,,,,,,,,,"{'status': 429, 'message': 'API rate limit exceeded'}"
3629,,,,,,,,,,,,,,,,,,,"{'status': 429, 'message': 'API rate limit exceeded'}"
3630,,,,,,,,,,,,,,,,,,,"{'status': 429, 'message': 'API rate limit exceeded'}"
3631,,,,,,,,,,,,,,,,,,,"{'status': 429, 'message': 'API rate limit exceeded'}"
3632,0.821,0.276,1.0,-10.556,1.0,0.123,0.0392,0.0233,0.11,0.0569,144.896,audio_features,06RzVT7uWMYv2fPTyiOy1m,spotify:track:06RzVT7uWMYv2fPTyiOy1m,https://api.spotify.com/v1/tracks/06RzVT7uWMYv2fPTyiOy1m,https://api.spotify.com/v1/audio-analysis/06RzVT7uWMYv2fPTyiOy1m,213427.0,4.0,
